05-12-2018_18:41:49	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:41:49	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1075	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:46:01	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:46:01	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1647	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:47:00	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:47:00	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	6247	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:53:40	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:53:40	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	6103	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:55:07	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:55:07	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1073	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:55:12	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:55:12	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1045	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:55:48	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:55:48	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1077	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:56:55	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	10.0	22.0	
05-12-2018_18:56:55	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	10.0	22.0	
tiempo	22071	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:57:41	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	10.0	22.0	
05-12-2018_18:57:41	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	10.0	22.0	
tiempo	1921	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:57:47	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	10.0	22.0	
05-12-2018_18:57:47	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	10.0	22.0	
tiempo	1931	milis

